sample_id,location,pair_id,jar_id1,jar_id2,whc_pct,carbon_pct,nitrogen_pct,phosphorus_mgkg,phosphate_mgkg,ammonium_mg_kg,nitrate_mg_kg,ph,Notes
FOR-01,Forest,1,F-10,F-56,31.96,5.156,0.218,36.7,115,,,4.1,
FOR-02,Forest,2,F-14,F-82,34.51,8.005,0.369,62.7,196,,,3.7,
FOR-03,Forest,3,F-39,F-52,20.92,4.285,0.151,17.1,53.5,,,4.47,
FOR-04,Forest,4,F-36,F-62,21.97,5.504,0.258,26.6,83.3,4.4,4.1,4.34,
FOR-05,Forest,5,F-3,F-13,30.57,3.33,0.168,18.8,58.7,,,4.29,Second pH batch
FOR-06,Forest,6,F-42,F-64,21.07,3.987,0.186,26.6,83.3,,,4.01,
FOR-08,Forest,8,F-100,F-6,26.56,8.982,0.346,24.2,75.8,5.1,3.2,4.2,
FOR-09,Forest,9,F-38,F-35,31.49,5.986,0.171,15.3,47.8,66.5,7.8,3.19,
FOR-10,Forest,10,F-97,F-99,20.91,5.52,0.251,49.7,156,,,4,
FOR-11,Forest,11,F-88,F-68,27.64,3.289,0.116,34.7,109,,,3.71,
FOR-12,Forest,12,F-96,F-66,25.16,8.79,0.31,23.2,72.7,19.5,2.1,3.6,
FOR-13,Forest,13,F-98,F-78,27.73,6.354,0.215,24.1,75.4,,,3.46,
FOR-14,Forest,14,F-46,F-72,53.66,7.936,0.279,26.2,81.9,,,3.8,
FOR-15,Forest,15,F-101,F-102,20.8,7.059,0.227,20.2,63.1,,,4.07,
FOR-16,Forest,16,F-103,F-104,29.65,11.34,0.485,40.5,127,23.7,5.7,3.93,Second pH batch
FOR-17,Forest,17,F-37,F-55,31.54,8.14,0.33,24.4,76.2,,,3.61,
FOR-18,Forest,18,F-31,F-48,29.09,11.841,0.487,34.6,108,,,3.95,
FOR-19,Forest,19,F-41,F-22,21.3,5.928,0.254,23.7,74.1,,,4.14,Second pH batch
FOR-20,Forest,20,F-11,F-77,19.66,6.597,0.259,22.8,71.4,,,4.16,
FOR-21,Forest,21,F-81,F-50,24.48,6.012,0.258,38.5,121,,,4.15,
FOR-22,Forest,22,F-5,F-12,25.8,3.901,0.165,22,68.8,,,4.14,
FOR-23,Forest,23,F-63,F-85,28.42,8.768,0.364,21.1,66.2,,,3.6,
FOR-24,Forest,24,F-34,F-27,18.81,9.388,0.385,36,113,,,4.2,
FOR-25,Forest,25,F-61,F-95,27.23,3.602,0.128,20.6,64.4,,,3.61,
FOR-26,Forest,26,F-69,F-84,29.32,6.903,0.241,24.4,76.2,,,3.91,
MEAD-01,Meadow,1,M-60,M-57,27.12,4.545,0.24,31.5,98.6,,,3.8,"Second pH batch, soaked up almost all water"
MEAD-02,Meadow,2,M-94,M-19,20.08,4.881,0.22,51.5,161,,,4.2,
MEAD-03,Meadow,3,M-9,M-17,29.11,3.262,0.176,31.9,100,,,4.67,
MEAD-04,Meadow,4,M-16,M-25,37.39,3.573,0.217,52.5,164,6.4,4,4.65,
MEAD-05,Meadow,5,M-79,M-44,33.76,4.895,0.313,24.5,76.7,,,4.4,
MEAD-06,Meadow,6,M-65,M-40,36.58,4.631,0.269,37.2,117,,,4.44,
MEAD-08,Meadow,8,M-45,M-80,54.25,4.805,0.309,16.2,50.8,10.7,3.4,4.19,
MEAD-09,Meadow,9,M-32,M-59,35.7,4.247,0.222,76.7,240,6.2,4.9,4.16,
MEAD-10,Meadow,10,M-26,M-7,29.36,5.222,0.324,65.7,206,,,3.73,
MEAD-11,Meadow,11,M-92,M-28,37.28,3.001,0.174,68.6,215,,,4.46,
MEAD-12,Meadow,12,M-4,M-24,33.64,4.029,0.238,59.5,186,19,3.3,4.05,
MEAD-13,Meadow,13,M-83,M-58,28.52,4.041,0.219,36,113,,,4.52,
MEAD-14,Meadow,14,M-53,M-23,30.88,4.035,0.249,34.6,108,,,4.43,Second pH batch
MEAD-15,Meadow,15,M-74,M-54,32.5,7.016,0.289,20.4,64,,,4.11,
MEAD-16,Meadow,16,M-93,M-67,50.9,3.919,0.208,31.6,99,33.9,4.7,4.3,
MEAD-17,Meadow,17,M-33,M-15,26.05,3.494,0.211,63.7,199,,,4.19,
MEAD-18,Meadow,18,M-71,M-49,22.84,6.164,0.354,23,71.9,,,4.38,
MEAD-19,Meadow,19,M-89,M-76,30.26,4.682,0.266,49.7,156,,,4.39,
MEAD-20,Meadow,20,M-70,M-47,27.41,6.35,0.377,69.6,218,,,4.22,
MEAD-21,Meadow,21,M-30,M-29,28.14,7.418,0.418,41.6,130,,,4.5,
MEAD-22,Meadow,22,M-43,M-86,33.86,4.096,0.233,44.9,141,,,4.42,Second pH batch
MEAD-23,Meadow,23,M-91,M-87,26.39,6.254,0.388,45.6,143,,,4.3,
MEAD-24,Meadow,24,M-105,M-106,33.97,8.852,0.487,54.7,171,,,3.95,
MEAD-25,Meadow,25,M-90,M-51,30.45,4.725,0.267,45.9,144,,,4.39,
MEAD-26,Meadow,26,M-73,M-75,27.98,5.594,0.295,27.6,86.3,,,3.76,
